Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF ARTS (GENERAL),BAGEN-101,English Literature- I,100,40,1st Semester,,
2,BACHELOR OF ARTS (GENERAL),BAGEN-102,Environmental Studies,100,40,1st Semester,,
3,BACHELOR OF ARTS (GENERAL),BAGEN-103,Public Administration-I (Element of Public Administartion),100,40,1st Semester,,
4,BACHELOR OF ARTS (GENERAL),BAGEN-104,Economics,100,40,1st Semester,,
5,BACHELOR OF ARTS (GENERAL),BAGEN-201,Introduction to Mass Media,100,40,2nd Semester,,
6,BACHELOR OF ARTS (GENERAL),BAGEN-202,Political Science-I(Indian Govt. and Politics),100,40,2nd Semester,,
7,BACHELOR OF ARTS (GENERAL),BAGEN-203,History-I (History of Indian form Earliest to 1256 Ad 361),100,40,2nd Semester,,
8,BACHELOR OF ARTS (GENERAL),BAGEN-204,Sociology-I (Introduction to Sociology),100,40,2nd Semester,,
9,BACHELOR OF ARTS (GENERAL),BAGEN-301,English - II,100,40,3rd Semester,,
10,BACHELOR OF ARTS (GENERAL),BAGEN-302,Hindi General,100,40,3rd Semester,,
11,BACHELOR OF ARTS (GENERAL),BAGEN-303,Public Administration-II (Constitutional & Administrative Aspect of HP),100,40,3rd Semester,,
12,BACHELOR OF ARTS (GENERAL),BAGEN-304,Economics-II,100,40,3rd Semester,,
13,BACHELOR OF ARTS (GENERAL),BAGEN-401,Communication Tools,100,40,4th Semester,,
14,BACHELOR OF ARTS (GENERAL),BAGEN-402,Political Science-II (Political Theory),100,40,4th Semester,,
15,BACHELOR OF ARTS (GENERAL),BAGEN-403,History-II History of India(1526-1857 A.D.),100,40,4th Semester,,
16,BACHELOR OF ARTS (GENERAL),BAGEN-404,Sociology-II (Research Mythology),100,40,4th Semester,,
17,BACHELOR OF ARTS (GENERAL),BAGEN-501,English - III,100,40,5th Semester,,
18,BACHELOR OF ARTS (GENERAL),BAGEN-502,Public Administration-III (Local Government),100,40,5th Semester,,
19,BACHELOR OF ARTS (GENERAL),BAGEN-503,Economics-III,100,40,5th Semester,,
20,BACHELOR OF ARTS (GENERAL),BAGEN-504,Mathematics (Analysis),100,40,5th Semester,,
21,BACHELOR OF ARTS (GENERAL),BAGEN-601,Media Writing ,100,40,6th Semester,,
22,BACHELOR OF ARTS (GENERAL),BAGEN-602,Political Science-III (Comparative Govt. & Policies),100,40,6th Semester,,
23,BACHELOR OF ARTS (GENERAL),BAGEN-603,History-III (Modern World),100,40,6th Semester,,
24,BACHELOR OF ARTS (GENERAL),BAGEN-604,Sociology-III (Population and Society),100,40,6th Semester,,
