Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 101,ENGINEERING MATHEMATICS - I,100,40,1st Semester,,
2,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 102,ENGINEERING PHYSICS,100,40,1st Semester,,
3,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 103,ENGINEERING CHEMISTRY,100,40,1st Semester,,
4,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 104,BASIC ELECTRICAL ENGINEERING,100,40,1st Semester,,
5,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 201,ENGINEERING MATHEMATICS - II,100,40,2nd Semester,,
6,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 202,ENGINEERING GRAPHICS & CAD,100,40,2nd Semester,,
7,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 203,PROGRAMMING IN C / PYTHON,100,40,2nd Semester,,
8,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 204,WORKSHOP TECHNOLOGY,100,40,2nd Semester,,
9,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 301,ENGINEERING MECHANICS,100,40,3rd Semester,,
10,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 302,STRENGTH OF MATERIALS,100,40,3rd Semester,,
11,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 303,THERMODYNAMICS,100,40,3rd Semester,,
12,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 304,MANUFACTURING TECHNOLOGY - I,100,40,3rd Semester,,
13,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 401,FLUID MECHANICS & MACHINERY,100,40,4th Semester,,
14,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 402,HEAT & MASS TRANSFER,100,40,4th Semester,,
15,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 403,MANUFACTURING TECHNOLOGY - II,100,40,4th Semester,,
16,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 404,MACHINE DRAWING & SOLID MODELING,100,40,4th Semester,,
17,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 501,THEORY OF MACHINES,100,40,5th Semester,,
18,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 502,MACHINE DESIGN - I,100,40,5th Semester,,
19,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 503,AUTOMOBILE ENGINEERING,100,40,5th Semester,,
20,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 504,INDUSTRIAL ENGINEERING & MANAGEMENT,100,40,5th Semester,,
21,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 601,ROBOTICS & AUTOMATION,100,40,6th Semester,,
22,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 602,MACHINE DESIGN - II,100,40,6th Semester,,
23,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 603,COMPUTATIONAL FLUID DYNAMICS,100,40,6th Semester,,
24,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 604,RENEWABLE ENERGY SYSTEMS,100,40,6th Semester,,
25,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 701,FINITE ELEMENT METHODS,100,40,7th Semester,,
26,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 702,POWER PLANT ENGINEERING,100,40,7th Semester,,
27,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 703,ENGINEERING ETHICS,100,40,7th Semester,,
28,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 704,ELECTRIC VEHICLES & HYBRID SYSTEMS,100,40,7th Semester,,
29,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 801,MAJOR PROJECT,100,40,8th Semester,,
30,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 802,INTERNSHIP,100,40,8th Semester,,
31,BACHELOR OF TECHNOLOGY IN MECHANICAL,ME 803,COMPREHENSIVE VIVA VOCE,100,40,8th Semester,,
