Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF SCIENCE (B.SC.),BSC 101,YOGA,100,40,1st Semester,,
2,BACHELOR OF SCIENCE (B.SC.),BSC 102,PHYSICS,100,40,1st Semester,,
3,BACHELOR OF SCIENCE (B.SC.),BSC 103,CHEMISTRY,100,40,1st Semester,,
4,BACHELOR OF SCIENCE (B.SC.),BSC 104,MATHEMATICS,100,40,1st Semester,,
5,BACHELOR OF SCIENCE (B.SC.),BSC 201,YOGA,100,40,2nd Semester,,
6,BACHELOR OF SCIENCE (B.SC.),BSC 202,PHYSICS,100,40,2nd Semester,,
7,BACHELOR OF SCIENCE (B.SC.),BSC 203,CHEMISTRY,100,40,2nd Semester,,
8,BACHELOR OF SCIENCE (B.SC.),BSC 204,MATHEMATICS,100,40,2nd Semester,,
9,BACHELOR OF SCIENCE (B.SC.),BSC 301,YOGA,100,40,3rd Semester,,
10,BACHELOR OF SCIENCE (B.SC.),BSC 302,PHYSICS,100,40,3rd Semester,,
11,BACHELOR OF SCIENCE (B.SC.),BSC 303,CHEMISTRY,100,40,3rd Semester,,
12,BACHELOR OF SCIENCE (B.SC.),BSC 304,MATHEMATICS,100,40,3rd Semester,,
13,BACHELOR OF SCIENCE (B.SC.),BSC 401,YOGA,100,40,4th Semester,,
14,BACHELOR OF SCIENCE (B.SC.),BSC 402,PHYSICS,100,40,4th Semester,,
15,BACHELOR OF SCIENCE (B.SC.),BSC 403,CHEMISTRY,100,40,4th Semester,,
16,BACHELOR OF SCIENCE (B.SC.),BSC 404,MATHEMATICS,100,40,4th Semester,,
17,BACHELOR OF SCIENCE (B.SC.),BSC 501,YOGA,100,40,5th Semester,,
18,BACHELOR OF SCIENCE (B.SC.),BSC 502,PHYSICS,100,40,5th Semester,,
19,BACHELOR OF SCIENCE (B.SC.),BSC 503,CHEMISTRY,100,40,5th Semester,,
20,BACHELOR OF SCIENCE (B.SC.),BSC 504,MATHEMATICS,100,40,5th Semester,,
21,BACHELOR OF SCIENCE (B.SC.),BSC 601,YOGA,100,40,6th Semester,,
22,BACHELOR OF SCIENCE (B.SC.),BSC 602,PHYSICS,100,40,6th Semester,,
23,BACHELOR OF SCIENCE (B.SC.),BSC 603,CHEMISTRY,100,40,6th Semester,,
24,BACHELOR OF SCIENCE (B.SC.),BSC 604,MATHEMATICS,100,40,6th Semester,,
