Serial,Course,Course Code,Subject,Max Marks,Min Marks,Semester,Academic Year,Year
1,BACHELOR OF ARTS (B.A.),BA 101,GENERAL,100,40,,,1st Year
2,BACHELOR OF ARTS (B.A.),BA 102,ENGLISH,100,40,,,1st Year
3,BACHELOR OF ARTS (B.A.),BA 103,HINDI,100,40,,,1st Year
4,BACHELOR OF ARTS (B.A.),BA 104,SANSKRIT,100,40,,,1st Year
5,BACHELOR OF ARTS (B.A.),BA 201,GENERAL,100,40,,,2nd Year
6,BACHELOR OF ARTS (B.A.),BA 202,ENGLISH,100,40,,,2nd Year
7,BACHELOR OF ARTS (B.A.),BA 203,HINDI,100,40,,,2nd Year
8,BACHELOR OF ARTS (B.A.),BA 204,SANSKRIT,100,40,,,2nd Year
9,BACHELOR OF ARTS (B.A.),BA 301,GENERAL,100,40,,,3rd Year
10,BACHELOR OF ARTS (B.A.),BA 302,ENGLISH,100,40,,,3rd Year
11,BACHELOR OF ARTS (B.A.),BA 303,HINDI,100,40,,,3rd Year
12,BACHELOR OF ARTS (B.A.),BA 304,SANSKRIT,100,40,,,3rd Year
